ID,CDS,Total,Female,Male,NativeAmericanorIndian,Asian,Pacific,Filipino,Hispanic,AfricanAmerican,White,MultipleRace,NoRace,D7,D8,D9,D10,D11,D12,Academic_Year,County,School,City,Zip,State,Latitude,Longitude
48,10621171030469,24,0,24,0,0,0,0,24,0,0,0,0,2,2,6,5,4,5,1995,Fresno,Enterprise Alternative,Clovis,93611-0569,CA,36.837605,-119.68745
49,10621171030469,61,35,26,0,0,0,0,0,0,61,0,0,4,6,15,17,13,6,1996,Fresno,Enterprise Alternative,Clovis,93611-0569,CA,36.837605,-119.68745
50,10621171031004,40,0,40,0,0,0,0,0,0,40,0,0,4,3,14,9,7,3,1997,Fresno,Gateway High (Continuation),Clovis,93611-0598,CA,36.837605,-119.68745
51,10621660114355,74,29,45,0,0,0,0,52,0,22,0,0,4,9,7,7,21,26,2009,Fresno,Sierra Charter,Fresno,93727-1510,CA,36.767885,-119.72913
52,10621660114355,12,12,0,0,0,0,0,0,0,12,0,0,1,2,2,3,2,2,2010,Fresno,Sierra Charter,Fresno,93727-1510,CA,36.767885,-119.72913
53,10621660114355,43,27,16,0,0,0,0,27,0,16,0,0,4,3,5,6,8,17,2012,Fresno,Sierra Charter,Fresno,93727-1510,CA,36.767885,-119.72913
54,10621660114355,13,13,0,0,0,0,0,13,0,0,0,0,1,1,1,1,2,7,2013,Fresno,Sierra Charter,Fresno,93727-1510,CA,36.767885,-119.72913
55,10621660114355,21,21,0,0,0,0,0,21,0,0,0,0,2,2,8,3,4,2,2007,Fresno,Sierra Charter,Fresno,93727-1510,CA,36.767885,-119.72913
56,10621661030188,229,124,105,0,0,0,0,229,0,0,0,0,3,12,99,45,47,23,1994,Fresno,New Horizon High,Fresno,93705,CA,NaN,NaN
57,10621661030287,502,238,264,0,66,0,0,252,58,126,0,0,39,47,165,108,82,61,1992,Fresno,J. E. Young Academic Center,Fresno,93701-1002,CA,36.753917,-119.78923
58,10621661030287,155,155,0,0,0,0,0,155,0,0,0,0,2,10,57,49,36,1,1993,Fresno,J. E. Young Academic Center,Fresno,93701-1002,CA,36.753917,-119.78923
59,10621661030287,88,88,0,0,0,0,0,88,0,0,0,0,3,2,6,17,23,37,2011,Fresno,J. E. Young Academic Center,Fresno,93701-1002,CA,36.753917,-119.78923
60,10621661030287,109,109,0,0,0,0,0,109,0,0,0,0,1,1,26,30,35,16,1996,Fresno,J. E. Young Academic Center,Fresno,93701-1002,CA,36.753917,-119.78923
61,10621661030287,365,220,145,0,0,0,0,324,41,0,0,0,8,21,115,109,77,35,1991,Fresno,J. E. Young Academic Center,Fresno,93701-1002,CA,36.753917,-119.78923
62,10621661030287,74,74,0,0,0,0,0,74,0,0,0,0,1,1,15,25,23,9,2010,Fresno,J. E. Young Academic Center,Fresno,93701-1002,CA,36.753917,-119.78923
63,10621661030287,115,115,0,0,0,0,0,115,0,0,0,0,2,1,22,31,40,19,1997,Fresno,J. E. Young Academic Center,Fresno,93701-1002,CA,36.753917,-119.78923
64,10621661030287,52,52,0,0,0,0,0,0,0,52,0,0,1,1,11,14,13,12,1999,Fresno,J. E. Young Academic Center,Fresno,93701-1002,CA,36.753917,-119.78923
65,10621661030667,99,48,51,0,0,0,0,99,0,0,0,0,2,11,12,19,21,34,2008,Fresno,New Millennium Institute of Education Charter,Fresno,93706-3117,CA,36.727632,-119.80383
66,10621661030667,115,38,77,0,0,0,0,92,0,0,23,0,6,9,24,33,24,19,2006,Fresno,New Millennium Institute of Education Charter,Fresno,93706-3117,CA,36.727632,-119.80383
67,10621661030667,89,44,45,0,0,0,0,89,0,0,0,0,3,3,19,18,22,24,2009,Fresno,New Millennium Institute of Education Charter,Fresno,93706-3117,CA,36.727632,-119.80383
68,10621661030667,43,43,0,0,0,0,0,43,0,0,0,0,1,2,3,6,9,22,2012,Fresno,New Millennium Institute of Education Charter,Fresno,93706-3117,CA,36.727632,-119.80383
69,10621661030840,17,0,17,0,0,0,0,17,0,0,0,0,1,1,8,5,1,1,2002,Fresno,Carter G. Woodson Public Charter,Fresno,93726-5712,CA,36.780788,-119.76792
70,10621661030840,9,9,0,0,0,0,0,9,0,0,0,0,1,3,1,1,2,1,2014,Fresno,Carter G. Woodson Public Charter,Fresno,93726-5712,CA,36.780788,-119.76792
71,10621661031632,26,26,0,0,0,0,0,26,0,0,0,0,1,1,3,7,11,3,1994,Fresno,Dewolf Continuation High,Fresno,93703-2124,CA,36.786021,-119.83947
